Номінальна потужність (кВА),Максимальні втрати короткого замикання (Вт),Максимальні втрати холостого ходу (Вт)
25,900,70
50,1100,90
100,1750,145
160,3102,300
200,2750,365
250,3250,425
315,3900,520
