Номінальна потужність (кВА),Мінімальне значення максимального коефіцієнта корисної дії (%)
≤4000,99.158
5000,99.2
6300,99.242
8000,99.298
10000,99.33
12500,99.37
16000,99.416
20000,99.468
25000,99.521
31500,99.551
40000,99.567
50000,99.585
63000,99.59
